DataPointNumber,DataSpectralPassBand,DataFluxPublishedValue,DataFluxPublishedStatErr,DataFluxPublishedUnit,DataSpectralValue,DataFluxValue,DataFluxStatErr,DataFluxUnit,DataRefcode,DataSignificance,DataSpectralPublishedValue,DataFrequencyMode,DataTargetPos,DataSpatialMode,DataQualifiers,DataComments
47,"0.4-10 keV (XMM)    ",1.21E-10,,"erg cm^-2^ s^-1^    ",1.26E18,9.6E-6,,Jy,2006A&A...453..829F,no uncertainty reported,"    5.20   keV       "," Broad-band measurement",12 29 06.7 +02 03 09 (J2000)," Flux integrated from map","Broken PL model                         ",From reprocessed raw data; NED frequency assigned tomid-point of band in keV
48,"0.4-10 keV (XMM)    ",1.22E-10,,"erg cm^-2^ s^-1^    ",1.26E18,9.68E-6,,Jy,2006A&A...453..829F,no uncertainty reported,"    5.20   keV       "," Broad-band measurement",12 29 06.7 +02 03 09 (J2000)," Flux integrated from map","Broken PL model                         ",From reprocessed raw data; NED frequency assigned tomid-point of band in keV
49,"0.4-10 keV (XMM)    ",1.57E-10,,"erg cm^-2^ s^-1^    ",1.26E18,1.25E-5,,Jy,2006A&A...453..829F,no uncertainty reported,"    5.20   keV       "," Broad-band measurement",12 29 06.7 +02 03 09 (J2000)," Flux integrated from map","Broken PL model                         ",From reprocessed raw data; NED frequency assigned tomid-point of band in keV
50,"0.4-10 keV (XMM)    ",1.84E-10,,"erg cm^-2^ s^-1^    ",1.26E18,1.46E-5,,Jy,2006A&A...453..829F,no uncertainty reported,"    5.20   keV       "," Broad-band measurement",12 29 06.7 +02 03 09 (J2000)," Flux integrated from map","Broken PL model                         ",From reprocessed raw data; NED frequency assigned tomid-point of band in keV
51,"0.4-10 keV (XMM)    ",1.31E-10,,"erg cm^-2^ s^-1^    ",1.26E18,1.04E-5,,Jy,2006A&A...453..829F,no uncertainty reported,"    5.20   keV       "," Broad-band measurement",12 29 06.7 +02 03 09 (J2000)," Flux integrated from map","Broken PL model                         ",From reprocessed raw data; NED frequency assigned tomid-point of band in keV
52,"0.4-10 keV (XMM)    ",1.86E-10,,"erg cm^-2^ s^-1^    ",1.26E18,1.48E-5,,Jy,2006A&A...453..829F,no uncertainty reported,"    5.20   keV       "," Broad-band measurement",12 29 06.7 +02 03 09 (J2000)," Flux integrated from map","Broken PL model                         ",From reprocessed raw data; NED frequency assigned tomid-point of band in keV
53,"0.4-10 keV (XMM)    ",1.51E-10,,"erg cm^-2^ s^-1^    ",1.26E18,1.2E-5,,Jy,2006A&A...453..829F,no uncertainty reported,"    5.20   keV       "," Broad-band measurement",12 29 06.7 +02 03 09 (J2000)," Flux integrated from map","Broken PL model                         ",From reprocessed raw data; NED frequency assigned tomid-point of band in keV
54,"0.4-10 keV (XMM)    ",1.54E-10,,"erg cm^-2^ s^-1^    ",1.26E18,1.22E-5,,Jy,2006A&A...453..829F,no uncertainty reported,"    5.20   keV       "," Broad-band measurement",12 29 06.7 +02 03 09 (J2000)," Flux integrated from map","Broken PL model                         ",From reprocessed raw data; NED frequency assigned tomid-point of band in keV
55,"0.4-10 keV (XMM)    ",1.95E-10,,"erg cm^-2^ s^-1^    ",1.26E18,1.55E-5,,Jy,2006A&A...453..829F,no uncertainty reported,"    5.20   keV       "," Broad-band measurement",12 29 06.7 +02 03 09 (J2000)," Flux integrated from map","Broken PL model                         ",From reprocessed raw data; NED frequency assigned tomid-point of band in keV
56,"0.4-10 keV (XMM)    ",1.64E-10,,"erg cm^-2^ s^-1^    ",1.26E18,1.3E-5,,Jy,2006A&A...453..829F,no uncertainty reported,"    5.20   keV       "," Broad-band measurement",12 29 06.7 +02 03 09 (J2000)," Flux integrated from map","Broken PL model                         ",From reprocessed raw data; NED frequency assigned tomid-point of band in keV
57,"0.4-10 keV (XMM)    ",1.32E-10,,"erg cm^-2^ s^-1^    ",1.26E18,1.05E-5,,Jy,2006A&A...453..829F,no uncertainty reported,"    5.20   keV       "," Broad-band measurement",12 29 06.7 +02 03 09 (J2000)," Flux integrated from map","Broken PL model                         ",From reprocessed raw data; NED frequency assigned tomid-point of band in keV
58,"0.4-10 keV (XMM)    ",1.12E-10,,"erg cm^-2^ s^-1^    ",1.26E18,8.89E-6,,Jy,2006A&A...453..829F,no uncertainty reported,"    5.20   keV       "," Broad-band measurement",12 29 06.7 +02 03 09 (J2000)," Flux integrated from map","Broken PL model                         ",From reprocessed raw data; NED frequency assigned tomid-point of band in keV
59,"0.5-10 keV (ASCA)   ",230.0,,"ergs cm^-2^ s^-1^   ",1.21E18,1.9E-5,,Jy,2000MNRAS.316..234R,no uncertainty reported,"5.0        keV       "," Broad-band measurement; broad-band flux derived by integration over spectrum; synthetic band",," Not reported in paper","                                        ",Recalibrated data; Extinction-corrected for internal andMilky Way and K-correction applied; NED frequency assigned tomid-point of band in keV
60,"4 keV (Einstein)    ",5.05,,"microJy             ",9.67E17,5.05E-6,,Jy,1994ApJS...95....1E,no uncertainty reported,"       4   keV       "," Broad-band measurement",," Flux integrated from map","From 1992ApJ...384...62C                ",Averaged from previously published data; Extinction-correctedfor Milky Way; NED frequency assigned to mid-point of band inkeV
61,"4 keV (Einstein)    ",5.84,,"microJy             ",9.67E17,5.84E-6,,Jy,1994ApJS...95....1E,no uncertainty reported,"       4   keV       "," Broad-band measurement",," Flux integrated from map","From 1992ApJ...389..157W                ",Averaged from previously published data; Extinction-correctedfor Milky Way; NED frequency assigned to mid-point of band inkeV
62,0.3-3.5 keV Einstein,7.49,0.26,"erg cm^-2^ s^-1^    ",4.59E17,1.63E-5,3.9E-6,Jy,1987ApJ...323..243W,uncertainty,"     1.9   keV       "," Broad-band measurement",," Flux integrated from map","                                        ",From new raw data; Extinction-corrected for Milky Way; NEDfrequency assigned to mid-point of band in keV
63,0.3-3.5 keV Einstein,7.39,0.08,"erg cm^-2^ s^-1^    ",4.59E17,1.61E-5,1.19E-6,Jy,1987ApJ...323..243W,uncertainty,"     1.9   keV       "," Broad-band measurement",," Flux integrated from map","                                        ",From new raw data; NED frequency assigned to mid-point ofband in keV
64,"ROSAT (0.1-2.4 keV) ",1.17E-10,2.16E-12,"ergs sec^-1^ cm^-2^ ",3.25E17,3.6E-5,6.65E-7,Jy,1994A&A...281..355B,based on count statistics only,"     1.3   keV       "," Broad-band measurement; synthetic band",," Flux integrated from map","                                        ",From new raw data; Extinction-corrected for Milky Way
65,"0.5-2 keV (XMM)     ",4.38E-11,,"erg cm^-2^ s^-1^    ",3.02E17,1.45E-5,,Jy,2005A&A...432...15P,no uncertainty reported,"    1.25   keV       "," Broad-band measurement",12 29 06.7 +02 03 08 (J2000)," Flux integrated from map","                                        ",From new raw data; NED frequency assigned to mid-point ofband in keV
66,1 keV (Einstein IPC),10.98,1.14,"microJy             ",2.42E17,1.1E-5,1.15E-5,Jy,1987ApJ...323..243W,uncertainty,"       1   keV       "," Broad-band measurement",," Flux integrated from map","                                        ",From new raw data; Extinction-corrected for Milky Way; NEDfrequency assigned to mid-point of band in keV
67,1 keV (Einstein IPC),10.83,0.9,"microJy             ",2.42E17,1.08E-5,8.98E-6,Jy,1987ApJ...323..243W,uncertainty,"       1   keV       "," Broad-band measurement",," Flux integrated from map","                                        ",From new raw data; NED frequency assigned to mid-point ofband in keV
68,"1 keV (Einstein)    ",9.8,0.2,"microJy             ",2.42E17,9.8E-6,2.0E-7,Jy,1994ApJS...95....1E,90% confidence,"       1   keV       "," Broad-band measurement",," Flux integrated from map","From 1992A&A...253...35M                ",Averaged from previously published data; Extinction-correctedfor Milky Way; NED frequency assigned to mid-point of band inkeV
69,"0.2 keV (Einstein)  ",48.9,3.3,"microJy             ",4.84E16,4.89E-5,3.3E-6,Jy,1994ApJS...95....1E,90% confidence,"     0.2   keV       "," Broad-band measurement",," Flux integrated from map","From 1992A&A...253...35M                ",From reprocessed raw data; Extinction-corrected for MilkyWay; NED frequency assigned to mid-point of band in keV
70,"1000 A (FUSE)       ",3.63E-13,7.0E-16," ergs/cm^2^/s/A     ",3.0E15,0.0121,2.34E-5,Jy,2004ApJ...615..135S,uncertainty,"      1000 A         "," Broad-band measurement",," From fitting to map","Power-law continuum fit                 ",From reprocessed raw data
71,"1030 A (FUSE)       ",6.9E-14,,"erg/cm^2^/s/A       ",2.91E15,0.00245,,Jy,2006ApJS..165..229F,no uncertainty reported,"    1030   A         "," Broad-band measurement",," Flux integrated from map","S/N = 31.2                              ",From reprocessed raw data
72,"1031 A (FUSE)       ",2.69E-13,," erg/cm^2^/s/A      ",2.91E15,0.00955,,Jy,2009ApJS..182..378W,no uncertainty reported,"      1031 A         "," Broad-band measurement",," Flux integrated from map","                                        ",From new raw data
73,"1350 A (HST/FOS)    ",0.00658,6.58E-4,Jy,2.22E15,0.00658,6.58E-4,Jy,2006MNRAS.373..551L,uncertainty,"    1350   A         "," Broad-band measurement",12 29 06.7 +02 03 08.6 (J2000)," From fitting to map","                                        ",From reprocessed raw data; Extinction-corrected for Milky Way
74,"1450 A              ",1.5E-13,4.0E-14,"ergs/cm^2^/s/A      ",2.07E15,0.0105,0.00281,Jy,2005ApJ...629...61K,uncertainty,"    1450   A         "," Broad-band measurement",," Flux integrated from map","                                        ",From new raw data; Extinction-corrected for Milky Way
75,"1549 A              ",2.11E-13,,"erg/cm^2^/s/A       ",1.94E15,0.0169,,Jy,2005MNRAS.356.1029B,no uncertainty reported," 1549.05   A         "," Broad-band measurement",," Not reported in paper","C IV continuum                          ",From new raw data; Extinction-corrected for Milky Way
76,"UVW2 (XMM OM)       ",11.28,0.01,"mag                 ",1.41E15,0.0249,2.29E-4,Jy,2006MNRAS.366..953B,uncertainty,"    2120   A         "," Broad-band measurement",," Flux in fixed aperture","                                        ",From new raw data; Extinction-corrected for Milky Way
77,"UVM2 (XMM OM)       ",11.33,0.01,"mag                 ",1.3E15,0.0234,2.15E-4,Jy,2006MNRAS.366..953B,uncertainty,"    2310   A         "," Broad-band measurement",," Flux in fixed aperture","                                        ",From new raw data; Extinction-corrected for Milky Way
78,"UVW1 (XMM OM)       ",11.49,0.01,"mag                 ",1.03E15,0.0268,2.47E-4,Jy,2006MNRAS.366..953B,uncertainty,"    2910   A         "," Broad-band measurement",," Flux in fixed aperture","                                        ",From new raw data; Extinction-corrected for Milky Way
79,"log nu(Hz) 14.95    ",1.46,0.02,"log f_nu (milliJy)  ",8.91E14,0.0288,0.00136,Jy,1979ApJ...230...79N,uncertainty,14.95      log nu(Hz)," Broad-band measurement",," Flux in fixed aperture","                                        ",From new raw data
80,"u (SDSS PSF) AB     ",12.718,0.038,"asinh mag           ",8.36E14,0.0308,0.00107,Jy,2007SDSS6.C...0000:,based on count statistics only,"3585       A         "," Broad-band measurement",187.2779119548 2.0523862748 (J2000)," Modelled datum",SDSS flags: CHILD - object is part of a blended parent object; BAD_RADIAL - some low S/N radial points; INTERP - object contains interpolated-over pixels; BINNED1 - detected at >=5 sigma in original imaging frame;,From new raw data
81,"U (Johnson)         ",27.11,0.79,"milliJy             ",8.19E14,0.0271,7.9E-4,Jy,1983ApJS...52..341M,1 sigma,"0.366      microns   "," Broad-band measurement",122633.2 +021943 (B1950)," Flux in fixed aperture","17.7"" aperture                          ",From new raw data
82,"U (Johnson)         ",24.92,0.6,"milliJy             ",8.19E14,0.0249,6.0E-4,Jy,1983ApJS...52..341M,1 sigma,"0.366      microns   "," Broad-band measurement",122633.2 +021943 (B1950)," Flux in fixed aperture","15.4"" aperture                          ",From new raw data
83,"U                   ",11.99,,"mag                 ",8.19E14,0.029,,Jy,1978ApJS...36..317W,no uncertainty reported,"    3660   A         "," Broad-band measurement",," Flux integrated from map","                                        ",Averaged new and previously published data; derived from aflux in a different band and a color; Standard Johnson UBVRIfilters assumed
84,"U (XMM OM)          ",11.77,0.01,"mag                 ",8.03E14,0.0288,2.66E-4,Jy,2006MNRAS.366..953B,uncertainty,"    3735   A         "," Broad-band measurement",," Flux in fixed aperture","                                        ",From new raw data; Extinction-corrected for Milky Way
85,"log nu(Hz) 14.90    ",1.46,0.02,"log f_nu (milliJy)  ",7.94E14,0.0288,0.00136,Jy,1979ApJ...230...79N,uncertainty,14.90      log nu(Hz)," Broad-band measurement",," Flux in fixed aperture","                                        ",From new raw data
86,"log nu(Hz) 14.85    ",1.47,0.02,"log f_nu (milliJy)  ",7.08E14,0.0295,0.00139,Jy,1979ApJ...230...79N,uncertainty,14.85      log nu(Hz)," Broad-band measurement",," Flux in fixed aperture","                                        ",From new raw data
87,"B (Mt. Lemmon)      ",26.0,2.0,"milliJy             ",7.02E14,0.026,0.0020,Jy,1983ApJ...268...68L,uncertainty,"   0.427   microns   "," Broad-band measurement",," Flux in fixed aperture","18"" aperture                            ",From new raw data; Extinction-corrected for Milky Way
88,"B                   ",12.86,,"mag                 ",6.81E14,0.0306,,Jy,1978ApJS...36..317W,no uncertainty reported,"    4400   A         "," Broad-band measurement",," Flux integrated from map","                                        ",Averaged new and previously published data; derived from aflux in a different band and a color; Standard Johnson UBVRIfilters assumed
89,"B Johnson (FLWO)    ",12.986,0.074,"mag                 ",6.81E14,0.0272,0.00187,Jy,1994ApJS...95....1E,uncertainty,"    4400   A         "," Broad-band measurement",," Flux in fixed aperture","14"" aperture                            ",From new raw data; derived from a flux in a different bandand a color
90,"B (Johnson)         ",12.686,0.027," mag                ",6.81E14,0.0359,8.93E-4,Jy,2009AJ....138..845O,rms uncertainty,"      4400 A         "," Broad-band measurement",," Flux in fixed aperture","                                        ",From new raw data
91,"B (Johnson)         ",12.895,," mag                ",6.81E14,0.0296,,Jy,2009MNRAS.392.1181D,no uncertainty reported,"      4400 A         "," Broad-band measurement",," Flux in fixed aperture","Mean magnitude                          ",From new raw data
92,"B (XMM OM)          ",12.94,0.01,"mag                 ",6.75E14,0.0263,2.42E-4,Jy,2006MNRAS.366..953B,uncertainty,"    4443   A         "," Broad-band measurement",," Flux in fixed aperture","                                        ",From new raw data; Extinction-corrected for Milky Way
93,"B (Johnson)         ",28.36,0.94,"milliJy             ",6.69E14,0.0284,9.4E-4,Jy,1983ApJS...52..341M,1 sigma,"0.448      microns   "," Broad-band measurement",122633.2 +021943 (B1950)," Flux in fixed aperture","17.7"" aperture                          ",From new raw data
94,"B (Johnson)         ",26.44,0.53,"milliJy             ",6.69E14,0.0264,5.3E-4,Jy,1983ApJS...52..341M,1 sigma,"0.448      microns   "," Broad-band measurement",122633.2 +021943 (B1950)," Flux in fixed aperture","15.4"" aperture                          ",From new raw data
95,"log nu(Hz) 14.80    ",1.44,0.02,"log f_nu (milliJy)  ",6.31E14,0.0275,0.0013,Jy,1979ApJ...230...79N,uncertainty,14.80      log nu(Hz)," Broad-band measurement",," Flux in fixed aperture","                                        ",From new raw data
96,"4861 A              ",2.841E-14,,"erg/cm^2^/s/A       ",6.17E14,0.0224,,Jy,2005MNRAS.356.1029B,no uncertainty reported,"    4861   A         "," Broad-band measurement",," Not reported in paper","H {beta} continuum                      ",From new raw data; Extinction-corrected for Milky Way
97,"g (SDSS PSF) AB     ",12.803,0.0,"asinh mag           ",6.17E14,0.0275,1.04E-5,Jy,2007SDSS6.C...0000:,based on count statistics only,"4858       A         "," Broad-band measurement",187.2779119548 2.0523862748 (J2000)," Modelled datum","SDSS flags: CHILD - object is part of a blended parent object; BAD_RADIAL - some low S/N radial points; INTERP - object contains interpolated-over pixels; SATUR - object contains saturated pixels; BINNED1 - detected at >=5 sigma in original imaging frame; SATUR_CENTER - object's center is saturated; INTERP_CENTER - interpolated pixel(s) within 3 pixels of center; PSF_FLUX_INTERP - a signifcant amount of PSF's flux is interpolated; BRIGHTEST_GALAXY_CHILD - brightest child among one parent's children; AMOMENT_FAINT - too faint for adaptive moments; HAS_SATUR_DN - saturated, but bleed trail counts added back in;",From new raw data
98,"5100 A              ",2.13E-14,2.6E-15," ergs/cm^2^/s/A     ",5.88E14,0.0185,0.00226,Jy,2000ApJ...533..631K,rms uncertainty,"    5100   A         "," Broad-band measurement",12 26 33.4 +02 19 42 (J2000)," Total flux","                                        ",From new raw data
99,"log nu(Hz) 14.75    ",1.42,0.02,"log f_nu (milliJy)  ",5.62E14,0.0263,0.00124,Jy,1979ApJ...230...79N,uncertainty,14.75      log nu(Hz)," Broad-band measurement",," Flux in fixed aperture","                                        ",From new raw data
100,"V (Mt. Lemmon)      ",28.0,2.0,"milliJy             ",5.48E14,0.028,0.0020,Jy,1983ApJ...268...68L,uncertainty,"   0.547   microns   "," Broad-band measurement",," Flux in fixed aperture","18"" aperture                            ",From new raw data; Extinction-corrected for Milky Way
101,"V (Johnson)         ",12.87,0.04,"mag                 ",5.48E14,0.0259,9.72E-4,Jy,1978ApJ...224...22O,uncertainty,"    5471   A         "," Broad-band measurement",," Flux in fixed aperture","27"" aperture                            ",From new raw data
102,"V (Johnson)         ",12.78,0.06,"mag                 ",5.48E14,0.0281,0.0016,Jy,1978ApJ...224...22O,uncertainty,"    5471   A         "," Broad-band measurement",," Flux in fixed aperture","18"" aperture                            ",From new raw data; Corrected for line contamination
103,"V (XMM OM)          ",12.64,0.01,"mag                 ",5.47E14,0.0288,2.65E-4,Jy,2006MNRAS.366..953B,uncertainty,"    5483   A         "," Broad-band measurement",," Flux in fixed aperture","                                        ",From new raw data; Extinction-corrected for Milky Way
104,"V (HST/WFPC2)       ",12.6,0.15," mag                ",5.45E14,0.0332,0.00459,Jy,2008ApJ...678...22H,statistical error,"      5500 A         "," Broad-band measurement",," Modelled datum","Nuclear magnitude                       ",From reprocessed raw data
105,"V (HST/WFPC2)       ",15.65,0.2," mag                ",5.45E14,0.0020,3.69E-4,Jy,2008ApJ...678...22H,statistical error,"      5500 A         "," Broad-band measurement",," Modelled datum","Host magnitude                          ",From reprocessed raw data
106,"V (Johnson)         ",12.81,0.05,"mag                 ",5.42E14,0.0274,0.00129,Jy,1978ApJS...38..267O,uncertainty,"    5530   A         "," Broad-band measurement",," Flux in fixed aperture","18"" aperture                            ",Averaged new and previously published data
107,"V (Johnson)         ",0.023,,"Jy                  ",5.42E14,0.023,,Jy,1965ApJ...141..336L,no uncertainty reported,"      5530 A         "," Broad-band measurement",," Flux in fixed aperture","                                        ",From new raw data
108,"V (Johnson)         ",12.87,0.05,"mag                 ",5.42E14,0.0259,0.00122,Jy,1978ApJS...38..267O,uncertainty,"    5530   A         "," Broad-band measurement",," Flux in fixed aperture","27"" aperture                            ",From new raw data
109,"V (Johnson)         ",27.46,0.5,"milliJy             ",5.42E14,0.0275,5.0E-4,Jy,1983ApJS...52..341M,1 sigma,"    5530   A         "," Broad-band measurement",12 26 33.2 +02 19 43 (     )," Flux in fixed aperture","15.4"" aperture                          ",From new raw data
110,"V (Johnson)         ",26.51,0.67,"milliJy             ",5.42E14,0.0265,6.7E-4,Jy,1983ApJS...52..341M,1 sigma,"    5530   A         "," Broad-band measurement",12 26 33.2 +02 19 43 (     )," Flux in fixed aperture","17.7"" aperture                          ",From new raw data
111,"V                   ",12.72,,"mag                 ",5.42E14,0.0297,,Jy,1978ApJS...36..317W,no uncertainty reported,"    5530   A         "," Broad-band measurement",," Estimated by eye","                                        ",Averaged new and previously published data; Standard JohnsonUBVRI filters assumed
112,"V Johnson (FLWO)    ",12.81,0.069,"mag                 ",5.42E14,0.0274,0.00174,Jy,1994ApJS...95....1E,uncertainty,"    5530   A         "," Broad-band measurement",," Flux in fixed aperture","14"" aperture                            ",From new raw data
113,"V (AIT)             ",24.78,,"milliJy             ",5.42E14,0.0248,,Jy,2004A&A...419...25F,no uncertainty reported,"    5530   A         "," Broad-band measurement",12 29 06.7 +02 03 08 (J2000)," Not reported in paper","Averaged over 10 years                  ",From new raw data; Extinction-corrected for Milky Way
114,"V (Johnson)         ",12.627,0.013," mag                ",5.42E14,0.0324,3.88E-4,Jy,2009AJ....138..845O,rms uncertainty,"      5530 A         "," Broad-band measurement",," Flux in fixed aperture","                                        ",From new raw data
115,"V (Johnson) (SHAO)  ",12.204,0.062," mag                ",5.42E14,0.0478,0.00273,Jy,2009AJ....138.1428F,uncertainty,"      5530 A         "," Broad-band measurement",12 29 06.70 +02 03 08.6 (J2000)," Flux in fixed aperture","Variable                                ",From new raw data; Extinction-corrected for Milky Way
116,"V (Johnson)         ",12.698,," mag                ",5.42E14,0.0303,,Jy,2009MNRAS.392.1181D,no uncertainty reported,"      5530 A         "," Broad-band measurement",," Flux in fixed aperture","Mean magnitude                          ",From new raw data
117,"V (Johnson)         ",15.61,,"mag                 ",5.42E14,0.00208,,Jy,2009ApJ...694L.166B,no uncertainty reported,"      5530 A         "," Broad-band measurement",," Modelled datum","Bulge magnitude                         ",From new raw data
118,"5700 A              ",2.724E-25,1.2E-27,"erg/s/cm^2^/Hz      ",5.26E14,0.0272,1.2E-4,Jy,2006ApJ...650...57T,uncertainty,"    5700   A         "," Broad-band measurement",12 29 06.6 +02 03 08 (J2000)," Modelled datum","                                        ",Averaged new and previously published data
119,"log nu(Hz) 14.70    ",1.4,0.02,"log f_nu (milliJy)  ",5.01E14,0.0251,0.00118,Jy,1979ApJ...230...79N,uncertainty,14.70      log nu(Hz)," Broad-band measurement",," Flux in fixed aperture","                                        ",From new raw data
120,"r (SDSS PSF) AB     ",12.733,0.0,"asinh mag           ",4.77E14,0.0293,1.16E-5,Jy,2007SDSS6.C...0000:,based on count statistics only,"6290       A         "," Broad-band measurement",187.2779119548 2.0523862748 (J2000)," Modelled datum","SDSS flags: CHILD - object is part of a blended parent object; BAD_RADIAL - some low S/N radial points; INTERP - object contains interpolated-over pixels; SATUR - object contains saturated pixels; BINNED1 - detected at >=5 sigma in original imaging frame; SATUR_CENTER - object's center is saturated; INTERP_CENTER - interpolated pixel(s) within 3 pixels of center; PSF_FLUX_INTERP - a signifcant amount of PSF's flux is interpolated; BRIGHTEST_GALAXY_CHILD - brightest child among one parent's children; CANONICAL_BAND - this band was primary (usually r); AMOMENT_FAINT - too faint for adaptive moments; NOTCHECKED_CENTER - object's center has pixels not checked for peaks; HAS_SATUR_DN - saturated, but bleed trail counts added back in;",From new raw data
121,"R (AIT)             ",26.19,,"milliJy             ",4.68E14,0.0262,,Jy,2004A&A...419...25F,no uncertainty reported,"    6400   A         "," Broad-band measurement",12 29 06.7 +02 03 08 (J2000)," Not reported in paper","Averaged over 10 years                  ",From new raw data; Extinction-corrected for Milky Way
122,"R                   ",14.11,," mag                ",4.68E14,0.00699,,Jy,2008ApJS..175...97H,no uncertainty reported,"      6400 A         "," Broad-band measurement",12 29 06.70 +02 03 08.6 (J2000)," Flux integrated from map","                                        ",Averaged new and previously published data
123,"R (Cousins) (SHAO)  ",12.014,0.014," mag                ",4.68E14,0.0482,6.21E-4,Jy,2009AJ....138.1428F,uncertainty,"      6400 A         "," Broad-band measurement",12 29 06.70 +02 03 08.6 (J2000)," Flux in fixed aperture","Variable                                ",From new raw data; Extinction-corrected for Milky Way
124,"R (Cousins)         ",12.441,," mag                ",4.68E14,0.0325,,Jy,2009MNRAS.392.1181D,no uncertainty reported,"      6400 A         "," Broad-band measurement",," Flux in fixed aperture","Mean magnitude                          ",From new raw data
125,"R' (Cousins)        ",26.09,0.82,"milliJy             ",4.48E14,0.0261,8.2E-4,Jy,1983ApJS...52..341M,1 sigma,"    6690   A         "," Broad-band measurement",12 26 33.2 +02 19 43 (     )," Flux in fixed aperture","17.7"" aperture                          ",From new raw data
126,"R' (Cousins)        ",27.6,0.61,"milliJy             ",4.48E14,0.0276,6.1E-4,Jy,1983ApJS...52..341M,1 sigma,"    6690   A         "," Broad-band measurement",12 26 33.2 +02 19 43 (     )," Flux in fixed aperture","15.4"" aperture                          ",From new raw data
127,"log nu(Hz) 14.65    ",1.39,0.02,"log f_nu (milliJy)  ",4.47E14,0.0245,0.00116,Jy,1979ApJ...230...79N,uncertainty,14.65      log nu(Hz)," Broad-band measurement",," Flux in fixed aperture","                                        ",From new raw data
128,"R (Mt. Lemmon)      ",30.0,2.0,"milliJy             ",4.35E14,0.03,0.0020,Jy,1983ApJ...268...68L,uncertainty,"   0.689   microns   "," Broad-band measurement",," Flux in fixed aperture","18"" aperture                            ",From new raw data; Extinction-corrected for Milky Way
129,"R (Johnson)         ",12.52,0.05,"mag                 ",4.35E14,0.0273,0.00129,Jy,1978ApJ...224...22O,uncertainty,"    6892   A         "," Broad-band measurement",," Flux in fixed aperture","27"" aperture                            ",From new raw data
130,"R (Johnson)         ",12.51,0.06,"mag                 ",4.35E14,0.0276,0.00156,Jy,1978ApJ...224...22O,uncertainty,"    6892   A         "," Broad-band measurement",," Flux in fixed aperture","18"" aperture                            ",From new raw data; Corrected for line contamination
131,"R Johnson (FLWO)    ",12.714,0.074,"mag                 ",4.33E14,0.0237,0.00162,Jy,1994ApJS...95....1E,uncertainty,"    6930   A         "," Broad-band measurement",," Flux in fixed aperture","14"" aperture                            ",From new raw data; derived from a flux in a different bandand a color
132,"R (Johnson)         ",12.475,0.011," mag                ",4.33E14,0.0296,3.0E-4,Jy,2009AJ....138..845O,rms uncertainty,"      6930 A         "," Broad-band measurement",," Flux in fixed aperture","                                        ",From new raw data
133,"R (Johnson)         ",12.5,0.05,"mag                 ",4.28E14,0.0278,0.00131,Jy,1978ApJS...38..267O,uncertainty,"    7000   A         "," Broad-band measurement",," Flux in fixed aperture","18"" aperture                            ",Averaged new and previously published data
134,"R (Johnson)         ",0.024,,"Jy                  ",4.28E14,0.024,,Jy,1965ApJ...141..336L,no uncertainty reported,"      7000 A         "," Broad-band measurement",," Flux in fixed aperture","                                        ",From new raw data
135,"R (Johnson)         ",12.52,0.05,"mag                 ",4.28E14,0.0273,0.00129,Jy,1978ApJS...38..267O,uncertainty,"    7000   A         "," Broad-band measurement",," Flux in fixed aperture","27"" aperture                            ",From new raw data
136,"log nu(Hz) 14.60    ",1.42,0.02,"log f_nu (milliJy)  ",3.98E14,0.0263,0.00124,Jy,1979ApJ...230...79N,uncertainty,14.60      log nu(Hz)," Broad-band measurement",," Flux in fixed aperture","                                        ",From new raw data
137,"i (SDSS PSF) AB     ",12.473,0.0,"asinh mag           ",3.89E14,0.0372,1.46E-5,Jy,2007SDSS6.C...0000:,based on count statistics only,"7706       A         "," Broad-band measurement",187.2779119548 2.0523862748 (J2000)," Modelled datum","SDSS flags: CHILD - object is part of a blended parent object; BAD_RADIAL - some low S/N radial points; INTERP - object contains interpolated-over pixels; SATUR - object contains saturated pixels; BINNED1 - detected at >=5 sigma in original imaging frame; SATUR_CENTER - object's center is saturated; INTERP_CENTER - interpolated pixel(s) within 3 pixels of center; PSF_FLUX_INTERP - a signifcant amount of PSF's flux is interpolated; BRIGHTEST_GALAXY_CHILD - brightest child among one parent's children; AMOMENT_FAINT - too faint for adaptive moments; HAS_SATUR_DN - saturated, but bleed trail counts added back in;",From new raw data
138,"I (AIT)             ",30.86,,"milliJy             ",3.79E14,0.0309,,Jy,2004A&A...419...25F,no uncertainty reported,"    7900   A         "," Broad-band measurement",12 29 06.7 +02 03 08 (J2000)," Not reported in paper","Averaged over 10 years                  ",From new raw data; Extinction-corrected for Milky Way
139,"I (Cousins) (SHAO)  ",11.628,0.046," mag                ",3.79E14,0.0569,0.00241,Jy,2009AJ....138.1428F,uncertainty,"      7900 A         "," Broad-band measurement",12 29 06.70 +02 03 08.6 (J2000)," Flux in fixed aperture","Variable                                ",From new raw data; Extinction-corrected for Milky Way
140,"I (Cousins)         ",12.139,," mag                ",3.79E14,0.0356,,Jy,2009MNRAS.392.1181D,no uncertainty reported,"      7900 A         "," Broad-band measurement",," Flux in fixed aperture","Mean magnitude                          ",From new raw data
141,"I' (Cousins)        ",41.29,1.4,"milliJy             ",3.75E14,0.0413,0.0014,Jy,1983ApJS...52..341M,1 sigma,"    8000   A         "," Broad-band measurement",12 26 33.2 +02 19 43 (     )," Flux in fixed aperture","17.7"" aperture                          ",From new raw data
