DataPointNumber,DataSpectralPassBand,DataFluxPublishedValue,DataFluxPublishedStatErr,DataFluxPublishedUnit,DataSpectralValue,DataFluxValue,DataFluxStatErr,DataFluxUnit,DataRefcode,DataSignificance,DataSpectralPublishedValue,DataFrequencyMode,DataTargetPos,DataSpatialMode,DataQualifiers,DataComments
460,"80 MHz              ",176.0,26.0,"Jy                  ",8.0E7,176.0,26.0,Jy,1981A&AS...45..367K,uncertainty,"      80   MHz       "," Broad-band measurement",122633.25 +021943.3 (B1950)," Not reported in paper",Recal. to Baars scale by factor of 1.074,Recalibrated data
461,"80 MHz              ",142.0,,"Jy                  ",8.0E7,142.0,,Jy,1990PKS90.C...0000W,no uncertainty reported,"      80   MHz       "," Broad-band measurement",12 26 33.2 +02 19 43 (B1950)," Integrated from scans","                                        ",Homogenized from new and previously published data
462,"80 MHz              ",156.0,,"Jy                  ",8.0E7,156.0,,Jy,1995AuJPh..48..143S,no uncertainty reported," 80        MHz       "," Broad-band measurement",122632.1 +021914. (B1950)," Flux integrated from map","                                        ",From new raw data
463,"80 MHz              ",147.0,21.0,"Jy                  ",8.0E7,147.0,21.0,Jy,1981A&AS...45..367K,uncertainty,"      80   MHz       "," Broad-band measurement",122633.25 +021943.3 (B1950)," Not reported in paper",Recal. to Baars scale by factor of 1.074,Recalibrated data
464,"74 MHz (VLA)        ",149.96,15.0," Jy                 ",7.38E7,150.0,15.0,Jy,2007AJ....134.1245C,rms uncertainty,"      73.8 MHz       "," Broad-band measurement",12 29 05.93 +02 02 56.0 (J2000)," Flux integrated from map","Corrected for clean bias                ",From new raw data
465,"74 MHz (VLA)        ",140.6,1.42," Jy                 ",7.38E7,141.0,1.42,Jy,2007ApJS..172..686K,uncertainty,"      73.8 MHz       "," Broad-band measurement",," Flux integrated from map","                                        ",From new raw data
466,"              60 MHz",157.0,15.0,"Jy                  ",6.0E7,157.0,15.0,Jy,1968Afz.....4..129A,rms uncertainty,"60         MHz       "," Broad-band measurement",," Modelled datum; Beam filling or dilution corrected","                                        ",From new raw data
467,"38 MHz              ",155.4,30.0,"Jy                  ",3.8E7,155.0,30.0,Jy,1981A&AS...45..367K,uncertainty,"      38   MHz       "," Broad-band measurement",122633.25 +021943.3 (B1950)," Not reported in paper","Recal. to Baars scale by factor of 1.09 ",Recalibrated data
468,"25 MHz (UTR-1)      ",860.0,370.0,Jy,2.5E7,860.0,370.0,Jy,1969MNRAS.143..289B,uncertainty,"      25   MHz       "," Broad-band measurement",12 26 32.8 +02 17.6 (B1950)," Total flux","                                        ",From new raw data
469,"25.0 MHz            ",860.0,370.0,Jy,2.5E7,860.0,370.0,Jy,1969MNRAS.143..289B,estimated error,"25.0       MHz       "," Broad-band measurement",," Total flux","                                        ",From new raw data
470,"22 MHz (DRAO)       ",410.0,70.0," Jy                 ",2.23E7,410.0,70.0,Jy,1986A&AS...65..485R,uncertainty,"     22.25 MHz       "," Broad-band measurement",12 26 31.8 +02 20 36 (B1950)," Flux integrated from map","                                        ",From new raw data
471,"20 MHz (UTR-1)      ",670.0,188.0,Jy,2.0E7,670.0,188.0,Jy,1969MNRAS.143..289B,uncertainty,"      20   MHz       "," Broad-band measurement",12 26 32.8 +02 17.6 (B1950)," Total flux","                                        ",From new raw data
472,"20.0 MHz            ",670.0,188.0,Jy,2.0E7,670.0,188.0,Jy,1969MNRAS.143..289B,estimated error,"20.0       MHz       "," Broad-band measurement",," Total flux","                                        ",From new raw data
473,"16.7 MHz (UTR-1)    ",580.0,215.0,Jy,1.67E7,580.0,215.0,Jy,1969MNRAS.143..289B,uncertainty,"    16.7   MHz       "," Broad-band measurement",12 26 32.8 +02 17.6 (B1950)," Total flux","                                        ",From new raw data
474,"16.7 MHz            ",580.0,215.0,Jy,1.67E7,580.0,215.0,Jy,1969MNRAS.143..289B,estimated error,"16.7       MHz       "," Broad-band measurement",," Total flux","                                        ",From new raw data
